stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PI55,PI55,PI55-Av. Departamental Esq. / Avenida 7,-33.4846566763191,-70.6916860326228,
PI56,PI56,PI56-Av. Departamental Esq. / Av. General  Velásquez,-33.4847297313061,-70.6884170279952,
PH2,PH2,PH2-Av. Departamental Esq. / Haití,-33.48799879903,-70.6843809906669,
PH3,PH3,PH3-Av. Departamental Esq. / Ranquil,-33.4915388084775,-70.6801800449877,
PH4,PH4,PH4-Av. Departamental Esq. / Av. Clotario Blest,-33.4939298768456,-70.6768429829051,
PH5,PH5,PH5-Av. Departamental Esq. / Félix Mendelssohn,-33.4960335767488,-70.6740297795685,
PH6,PH6,PH6-Av. Departamental Esq. / Club Hípico ,-33.4974691802236,-70.6720686901004,
PH1454,PH1454,PH1454-Av. Departamental Esq. / Alcibiades,-33.4992290428202,-70.6697470327872,
PH7,PH7,PH7-Av. Departamental Esq. / Av. J. J. Prieto Vial,-33.5002734266322,-70.6669655994418,
PH8,PH8,PH8-Av. Departamental Esq. / Pasaje 1,-33.5009312137353,-70.6643999495925,
PH9,PH9,PH9-Av. Departamental Esq. / 3ª Transversal,-33.5019481676384,-70.6606099983814,
PH10,PH10,PH10-Av. Departamental Esq. / 1ª Transversal,-33.5026442481363,-70.6580640317722,
PH11,PH11,PH11-Parada 4 / (M) Departamental,-33.503414249783,-70.6556779937955,
PH12,PH12,PH12-Av. Departamental Esq. / Departamental Int.,-33.5044609641922,-70.6513547835707,
PH13,PH13,PH13-Av. Departamental Esq. / Miguel Luis Cerda,-33.5050873767782,-70.6485140021435,
PH14,PH14,PH14-Av. Departamental Esq. / San Mauricio,-33.5058054081547,-70.6453230072039,
PH15,PH15,PH15-Av. Departamental Esq. / Río De Janeiro,-33.5067278322128,-70.6410897786613,
PH16,PH16,PH16-Parada 6 / Departamental   Santa Rosa,-33.5071244675538,-70.6394630161661,
PH17,PH17,PH17-Parada  / Infocap,-33.5071585300226,-70.6355269629534,
PH18,PH18,PH18-Av. Departamental Esq. / Juan Planas,-33.5071295700871,-70.6336440292289,
PH19,PH19,PH19-Av. Departamental Esq. / Benozzo Gozzoli,-33.5074333322637,-70.6291556052462,
PH1456,PH1456,PH1456-Av. Departamental Esq. / Av. Las Industrias,-33.5075987423717,-70.6267420276198,
PH1491,PH1491,PH1491-Av. Departamental Esq. / Vecinal -Norte,-33.5078287665773,-70.623339030802,
PH21,PH21,PH21-Av. Departamental Esq. / Avenida Haydn,-33.5079534816994,-70.6213108190357,
PH22,PH22,PH22-Parada  / Persa   Dapartamental,-33.5080078257563,-70.6184690507092,
PE1,PE1,PE1-Parada 4 / (M) Pedrero,-33.5084379154913,-70.6127780056493,
PE2,PE2,PE2-Av. Departamental Esq. / E. Fernández,-33.508625438202,-70.6074814850701,
PE3,PE3,PE3-Av. Departamental Esq. / Buenaventura ,-33.509218098409,-70.6005829699367,
PE4,PE4,PE4-Av. Departamental Esq. / Nueva 1,-33.509449542875,-70.5963573664296,
PE5,PE5,PE5-Av. Departamental Esq. / Av. A. Vespucio,-33.5096932258339,-70.592830213142,
